Race{actualTime=16281, actualLap=272}
Race{actualTime=16296, actualLap=272}
Race{actualTime=16311, actualLap=272}
Race{actualTime=16326, actualLap=273}
Race{actualTime=16341, actualLap=273}
Race{actualTime=16356, actualLap=273}
Race{actualTime=16371, actualLap=273}
Race{actualTime=16386, actualLap=274}
Race{actualTime=16401, actualLap=274}
Race{actualTime=16416, actualLap=274}
Race{actualTime=16431, actualLap=274}
Race{actualTime=16446, actualLap=275}
Race{actualTime=16461, actualLap=275}
Race{actualTime=16476, actualLap=275}
Race{actualTime=16491, actualLap=275}
Race{actualTime=16506, actualLap=276}
Race{actualTime=16521, actualLap=276}
Race{actualTime=16536, actualLap=276}
Race{actualTime=16551, actualLap=276}
Race{actualTime=16566, actualLap=277}
Race{actualTime=16581, actualLap=277}
Race{actualTime=16596, actualLap=277}
Race{actualTime=16611, actualLap=277}
Race{actualTime=16626, actualLap=278}
Race{actualTime=16641, actualLap=278}
Race{actualTime=16656, actualLap=278}
Race{actualTime=16671, actualLap=278}
Race{actualTime=16686, actualLap=279}
Race{actualTime=16701, actualLap=279}
Race{actualTime=16716, actualLap=279}
Race{actualTime=16731, actualLap=279}
Race{actualTime=16746, actualLap=280}
Race{actualTime=16761, actualLap=280}
Race{actualTime=16776, actualLap=280}
Race{actualTime=16791, actualLap=280}
Race{actualTime=16806, actualLap=281}
Race{actualTime=16821, actualLap=281}
Race{actualTime=16836, actualLap=281}
Race{actualTime=16851, actualLap=281}
Race{actualTime=16866, actualLap=282}
Race{actualTime=16881, actualLap=282}
Race{actualTime=16896, actualLap=282}
Race{actualTime=16911, actualLap=282}
Race{actualTime=16926, actualLap=283}
Race{actualTime=16941, actualLap=283}
Race{actualTime=16956, actualLap=283}
Race{actualTime=16971, actualLap=283}
Race{actualTime=16986, actualLap=284}
Race{actualTime=17001, actualLap=284}
Race{actualTime=17016, actualLap=284}
Race{actualTime=17031, actualLap=284}
Race{actualTime=17046, actualLap=285}
Race{actualTime=17061, actualLap=285}
Race{actualTime=17076, actualLap=285}
Race{actualTime=17091, actualLap=285}
Race{actualTime=17106, actualLap=286}
Race{actualTime=17121, actualLap=286}
Race{actualTime=17136, actualLap=286}
Race{actualTime=17151, actualLap=286}
Race{actualTime=17166, actualLap=287}
Race{actualTime=17181, actualLap=287}
Race{actualTime=17196, actualLap=287}
Race{actualTime=17211, actualLap=287}
Race{actualTime=17226, actualLap=288}
Race{actualTime=17241, actualLap=288}
Race{actualTime=17256, actualLap=288}
Race{actualTime=17271, actualLap=288}
Race{actualTime=17287, actualLap=289}
Race{actualTime=17302, actualLap=289}
Race{actualTime=17317, actualLap=289}
Race{actualTime=17332, actualLap=289}
Race{actualTime=17347, actualLap=290}
Race{actualTime=17362, actualLap=290}
Race{actualTime=17377, actualLap=290}
Race{actualTime=17392, actualLap=290}
Race{actualTime=17407, actualLap=291}
Race{actualTime=17422, actualLap=291}
Race{actualTime=17437, actualLap=291}
Race{actualTime=17452, actualLap=291}
Race{actualTime=17467, actualLap=292}
Race{actualTime=17482, actualLap=292}
Race{actualTime=17497, actualLap=292}
Race{actualTime=17512, actualLap=292}
Race{actualTime=17527, actualLap=293}
Race{actualTime=17557, actualLap=293}
Race{actualTime=17572, actualLap=293}
Race{actualTime=17587, actualLap=294}
Race{actualTime=17602, actualLap=294}
Race{actualTime=17617, actualLap=294}
Race{actualTime=17632, actualLap=294}
Race{actualTime=17662, actualLap=295}
Race{actualTime=17677, actualLap=295}
Race{actualTime=17692, actualLap=295}
Race{actualTime=17707, actualLap=296}
Race{actualTime=17722, actualLap=296}
Race{actualTime=17737, actualLap=296}
Race{actualTime=17752, actualLap=296}
Race{actualTime=17767, actualLap=297}
Race{actualTime=17782, actualLap=297}
Race{actualTime=17797, actualLap=297}
Race{actualTime=17812, actualLap=297}
Race{actualTime=17827, actualLap=298}
Race{actualTime=17842, actualLap=298}
